Video Title,Comment
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati","Dimyati ngurus pandeglang aja stak gitu aja, mau ngurus banten😢😢,, dari visi misi gaya bicara wawasan airim -hj ade lebih jelas baik dari penyampaian & cara menangani problem"
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati","Keluar dari topik yang dibicarakan ga sih Paslon no 2 ini, hadeh semakin kelihatan dong mana yang harus dipilih... NO 1 PASTI PAS"
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati",Kok masih makan siang gratis iya 😅 bukan nya sarapan pagi wkwkw
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati",Airin bukan yg lain👏👏👍👍
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati","Nomor 2 masih muda masih  demen korupz....😢 pastinya saya pilih bu hj airin h.ade, yang  udah pasti  nomor 1 menang  menang dan menang i love you bu hj. Airin."
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati",FIX lah Bu AIRIN ADE 😅
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati",Paslon 2 aku merasa tertipu 😂 di baliho baliho wajahnya mudah tp pas debat liat wajah langsung OOO udh tua.  😂 Kalo Paslon 1 wajahnya sesuai dg baliho.
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati",Bu Airin terbaik
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati",Airin ❤❤❤❤
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati","Dari debat pertama sampai saat ini, secara substansi dan penguasaan materi debat, bu Airin dan Ade lebih menguasai dibanding pasangan Andra Sony dan Dimyati, tapi sayangnya di lapangan terjadi ketidak adilan karena dari pemerintah pusat sampe tingkat desa diback up alat negara yang harysnya netral di PILKADA ini tapi justru ikut cawe-cawe"
