Video Title,Comment,clean_Comment,Polarity,Subjectivity,Emotion,Sentiment
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati","Dimyati ngurus pandeglang aja stak gitu aja, mau ngurus banten😢😢,, dari visi misi gaya bicara wawasan airim -hj ade lebih jelas baik dari penyampaian & cara menangani problem","dimyati ngurus pandeglang aja stak gitu aja , ngurus banten😢😢 , , visi misi gaya bicara wawasan airim -hj ade penyampaian & menangani problem",-0.4019,1.0,sadness,Negatif
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati","Keluar dari topik yang dibicarakan ga sih Paslon no 2 ini, hadeh semakin kelihatan dong mana yang harus dipilih... NO 1 PASTI PAS","Keluar dari topik yang dibicarakan sih Paslon 2 ini, hadeh semakin kelihatan dong mana yang harus dipilih... PASTI",0.0,1.0,anger,Netral
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati",Kok masih makan siang gratis iya 😅 bukan nya sarapan pagi wkwkw,Kok masih makan siang gratis iya 😅 bukan sarapan pagi wkwkw,0.0516,1.0,happy,Positif
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati",Airin bukan yg lain👏👏👍👍,Airin bukan lain👏👏👍👍,0.0,1.0,sadness,Netral
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati","Nomor 2 masih muda masih  demen korupz....😢 pastinya saya pilih bu hj airin h.ade, yang  udah pasti  nomor 1 menang  menang dan menang i love you bu hj. Airin.","Nomor 2 masih muda masih demen korupz....😢 pastinya saya pilih airin h.ade, yang udah pasti nomor menang menang dan menang i love you hj. Airin.",0.6369,1.0,happy,Positif
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati",FIX lah Bu AIRIN ADE 😅,FIX lah AIRIN ADE 😅,0.0,1.0,anger,Netral
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati",Paslon 2 aku merasa tertipu 😂 di baliho baliho wajahnya mudah tp pas debat liat wajah langsung OOO udh tua.  😂 Kalo Paslon 1 wajahnya sesuai dg baliho.,Paslon 2 aku merasa tertipu 😂 di baliho baliho wajahnya mudah debat liat wajah langsung OOO tua. 😂 Kalo Paslon wajahnya sesuai dg baliho.,0.0,1.0,sadness,Netral
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati",Bu Airin terbaik,Airin terbaik,0.0,1.0,happy,Netral
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati",Airin ❤❤❤❤,airin ❤❤❤❤,0.0,1.0,sadness,Netral
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati","Dari debat pertama sampai saat ini, secara substansi dan penguasaan materi debat, bu Airin dan Ade lebih menguasai dibanding pasangan Andra Sony dan Dimyati, tapi sayangnya di lapangan terjadi ketidak adilan karena dari pemerintah pusat sampe tingkat desa diback up alat negara yang harysnya netral di PILKADA ini tapi justru ikut cawe-cawe","Dari debat pertama sampai saat ini, secara substansi dan penguasaan materi debat, Airin dan Ade lebih menguasai dibanding pasangan Andra Sony dan Dimyati, tapi sayangnya di lapangan terjadi ketidak adilan karena dari pemerintah pusat sampe tingkat desa diback up alat negara yang harysnya netral di PILKADA ini tapi justru ikut cawe-cawe",0.0,1.0,anger,Netral
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati","01 AIRIN , visi misinya bagus, jawabannya on point , tau jalan penyelesaian tiap masalah setiap pertanyaan yang dilayangkan .
02 ANDRA , Visi misinya bagus , tapi saat sesi QNA jawabannya general ga dijelasin secara on point langkah langkahnya . 

dukungan partai tiap paslon 
01 GOLKAR , PDI , PARTAI BURUH , PARTAI UMMAT , PARTAI GELORA , PARTAI PBB
02 GERINDRA , PKS, DEMOKRAT , PKB, NASDEM , PAN , PPP, PSI, GARUDA

Pesanku : siapapun nanti yang jadi , jangan mau disetir sama ketua Partai . Harus Tegas,berani.  karena masyarakat memilih bukan berdasarkan Partai tapi berdasarkan Personal .

Tentukan pilihanmu ditanggal 27 November 2024 . Salam Damai ✌","AIRIN , visi misinya bagus, jawabannya on point , tau jalan penyelesaian tiap masalah setiap pertanyaan yang dilayangkan . 02 ANDRA , Visi misinya bagus , tapi saat sesi QNA jawabannya general dijelasin secara on point langkah langkahnya . dukungan partai tiap paslon GOLKAR , PDI , PARTAI BURUH , PARTAI UMMAT , PARTAI GELORA , PARTAI PBB 02 GERINDRA , PKS, DEMOKRAT , PKB, NASDEM , PAN , PPP, PSI, GARUDA Pesanku : siapapun nanti yang jadi , jangan mau disetir sama ketua Partai . Harus Tegas,berani. karena masyarakat memilih bukan berdasarkan Partai tapi berdasarkan Personal . Tentukan pilihanmu ditanggal 27 November 2024 . Salam Damai ✌",0.0,1.0,anger,Netral
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati",om Dimyati ges ngomong korupsi dei bae kmh rasana nyh coba mana ie orang Pandeglang,om Dimyati ges ngomong korupsi dei kmh rasana nyh coba mana ie orang Pandeglang,0.0,1.0,anger,Netral
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati",pak ade lengkap banget penjelasan tentang stuntingnya,ade lengkap banget penjelasan stuntingnya,0.0,1.0,happy,Netral
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati",Bu airin oke edy rahmayadi lanjutkn pimpin sumtera utara,airin oke edy rahmayadi lanjutkn pimpin sumtera utara,0.0,1.0,sadness,Netral
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati",Lanjutkan bu airin pimpin banten lagi menang,Lanjutkan airin pimpin banten lagi menang,0.0,1.0,happy,Netral
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati",Dukcapil di desa harus ada Krn di kabupaten Tangerang saat mau urus ke dukcapil dan dukcapil ada di kabupaten kenapa tidak di desa2 saja dukcapilmya kan sekarang sdh online system,Dukcapil di desa harus ada Krn di kabupaten Tangerang saat mau urus ke dukcapil dan dukcapil ada di kabupaten kenapa tidak di desa2 saja dukcapilmya kan sekarang online system,0.0,1.0,sadness,Netral
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati",Klo bisa internet kabelnya di tanam jgn semrawut kayak sekarang,bisa internet kabelnya di tanam semrawut kayak sekarang,0.0,1.0,sadness,Netral
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati",Bu Airin dan Pak Ade lebih cocok jadi gubernur wakil gubernur banten. Aamiin,Airin dan Pak Ade lebih cocok jadi gubernur wakil gubernur banten. Aamiin,0.0,1.0,anger,Netral
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati",Pilih gubernur yg satu arah dgn pusat agar lebih maju,Pilih gubernur satu arah dgn pusat agar lebih maju,0.0,1.0,anger,Netral
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati",jual nama prabowo berapa kali tp isi debatnya kosong muter2 disitu doang😂😂 definisi tong kosong nyari bunyi nya,jual nama prabowo berapa kali isi debatnya kosong muter2 disitu doang😂😂 definisi tong kosong nyari bunyi,0.0,1.0,anger,Netral
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati",Bu Airin ngmng gampang dimengerti,Airin ngmng gampang dimengerti,0.0,1.0,sadness,Netral
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati",Luar biasa pemikiran dan kepintarannya tuk bu Airin pak ade masih jauh sama pola pikir si no 2 hanya ambisi dan ingin menang karna presidennya prabowo tuk kecerdasan dan intelektualnya masih jauh sama no 1 bukan yang lain pokoknya mah Airin Ade tuk banten 1 menang telak,Luar biasa pemikiran dan kepintarannya tuk Airin pak ade masih jauh sama pola pikir si 2 hanya ambisi dan ingin menang karna presidennya prabowo tuk kecerdasan dan intelektualnya masih jauh sama bukan yang lain pokoknya Airin Ade tuk banten menang telak,0.0,1.0,anger,Netral
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati","Airin Ade, pilihan rakyat banten","airin ade , pilihan rakyat banten",0.0,1.0,anger,Netral
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati","Padahal di pandeglang itu dr hulu ke hilir korupsinya udh mendarah daging pelayanan dokumen saja udh diminta ratusan ribu kemana saja pak cawgub 02 yg sebelumnya punya kuasa disana...
Tolong jelaskan",Padahal di pandeglang itu dr hulu ke hilir korupsinya mendarah daging pelayanan dokumen saja diminta ratusan ribu kemana saja pak cawgub 02 sebelumnya punya kuasa disana... Tolong jelaskan,0.0,1.0,anger,Netral
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati",Gak ada yg ngena di hati.,ada ngena di hati.,0.0,1.0,sadness,Netral
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati",Gak ada yg saya pilih dari dulu pilkada banten gak pernah milih.,ada saya pilih dari dulu pilkada banten pernah milih.,0.0,1.0,anger,Netral
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati",Kebanyakan gak nyambung 😂😅,Kebanyakan nyambung 😂😅,0.0,1.0,anger,Netral
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati","Bu airin keren, mampu membuka pola fikir calon sebelah agar lebih mengerti tema dan sub tema , airin bukan yang lain☝","airin keren, mampu membuka pola fikir calon sebelah agar lebih mengerti tema dan sub tema , airin bukan yang lain☝",0.0,1.0,happy,Netral
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati",Airin-Ade Cerdas dan konkrit,airin-ade cerdas konkrit,0.0,1.0,anger,Netral
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati","Dimyati dari PKS ya,kok semalam 
Nyebut2 Prabowo 😅😅😅sok akrab Lo 😅😅","Dimyati dari PKS ya,kok semalam Nyebut2 Prabowo 😅😅😅sok akrab Lo 😅😅",0.0,1.0,anger,Netral
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati",Cocok bu Airin dan pak Ade memang luar biasa .... sama² Berpengalaman dan cerdas,Cocok Airin dan pak Ade memang luar biasa .... sama² Berpengalaman dan cerdas,0.0,1.0,sadness,Netral
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati","melihat debat ke satu dan kedua dari cara penyampaiannya jelas, lugas dan tegas terlihat wawasan pengetahuan dan kemampuan bu airin lebih unggul, saya pilih bu airin.","melihat debat ke satu dan kedua dari cara penyampaiannya jelas, lugas dan tegas terlihat wawasan pengetahuan dan kemampuan airin lebih unggul, saya pilih airin.",0.0,1.0,anger,Netral
